real_time,function_type,matrix_size
0.002,bla_c_o3,100
0.001,bla_c_o3,100
0.001,bla_c_o3,100
0.001,bla_c_o3,100
0.001,bla_c_o3,100
0.001,bla_c_o3,100
0.001,bla_c_o3,100
0.001,bla_c_o3,100
0.001,bla_c_o3,100
0.001,bla_c_o3,100
0.001,nai_c_o3,100
0.000,bet_c_o3,100
0.001,nai_c_o3,100
0.000,bet_c_o3,100
0.001,nai_c_o3,100
0.000,bet_c_o3,100
0.001,nai_c_o3,100
0.000,bet_c_o3,100
0.001,nai_c_o3,100
0.000,bet_c_o3,100
0.001,nai_c_o3,100
0.000,bet_c_o3,100
0.001,nai_c_o3,100
0.000,bet_c_o3,100
0.001,nai_c_o3,100
0.000,bet_c_o3,100
0.001,nai_c_o3,100
0.000,bet_c_o3,100
0.001,nai_c_o3,100
0.000,bet_c_o3,100
0.005,bla_c_o3,200
0.005,bla_c_o3,200
0.005,bla_c_o3,200
0.005,bla_c_o3,200
0.005,bla_c_o3,200
0.004,bla_c_o3,200
0.005,bla_c_o3,200
0.004,bla_c_o3,200
0.004,bla_c_o3,200
0.004,bla_c_o3,200
0.008,nai_c_o3,200
0.002,bet_c_o3,200
0.008,nai_c_o3,200
0.002,bet_c_o3,200
0.008,nai_c_o3,200
0.003,bet_c_o3,200
0.008,nai_c_o3,200
0.003,bet_c_o3,200
0.009,nai_c_o3,200
0.002,bet_c_o3,200
0.008,nai_c_o3,200
0.002,bet_c_o3,200
0.008,nai_c_o3,200
0.002,bet_c_o3,200
0.008,nai_c_o3,200
0.002,bet_c_o3,200
0.008,nai_c_o3,200
0.002,bet_c_o3,200
0.008,nai_c_o3,200
0.002,bet_c_o3,200
0.015,bla_c_o3,300
0.014,bla_c_o3,300
0.015,bla_c_o3,300
0.014,bla_c_o3,300
0.015,bla_c_o3,300
0.014,bla_c_o3,300
0.015,bla_c_o3,300
0.014,bla_c_o3,300
0.015,bla_c_o3,300
0.014,bla_c_o3,300
0.027,nai_c_o3,300
