real_time,function_type,matrix_size
0.008,bet_c_o3,300
0.027,nai_c_o3,300
0.008,bet_c_o3,300
0.027,nai_c_o3,300
0.008,bet_c_o3,300
0.027,nai_c_o3,300
0.008,bet_c_o3,300
0.027,nai_c_o3,300
0.008,bet_c_o3,300
0.027,nai_c_o3,300
0.008,bet_c_o3,300
0.027,nai_c_o3,300
0.008,bet_c_o3,300
0.028,nai_c_o3,300
0.008,bet_c_o3,300
0.027,nai_c_o3,300
0.008,bet_c_o3,300
0.027,nai_c_o3,300
0.008,bet_c_o3,300
0.035,bla_c_o3,400
0.035,bla_c_o3,400
0.035,bla_c_o3,400
0.035,bla_c_o3,400
0.036,bla_c_o3,400
0.035,bla_c_o3,400
0.035,bla_c_o3,400
0.035,bla_c_o3,400
0.035,bla_c_o3,400
0.035,bla_c_o3,400
0.065,nai_c_o3,400
0.018,bet_c_o3,400
0.065,nai_c_o3,400
0.018,bet_c_o3,400
0.065,nai_c_o3,400
0.018,bet_c_o3,400
0.065,nai_c_o3,400
0.018,bet_c_o3,400
0.065,nai_c_o3,400
0.018,bet_c_o3,400
0.065,nai_c_o3,400
0.018,bet_c_o3,400
0.065,nai_c_o3,400
0.018,bet_c_o3,400
0.065,nai_c_o3,400
0.018,bet_c_o3,400
0.065,nai_c_o3,400
0.018,bet_c_o3,400
0.065,nai_c_o3,400
0.018,bet_c_o3,400
0.068,bla_c_o3,500
0.068,bla_c_o3,500
0.068,bla_c_o3,500
0.069,bla_c_o3,500
0.070,bla_c_o3,500
0.068,bla_c_o3,500
0.067,bla_c_o3,500
0.068,bla_c_o3,500
0.067,bla_c_o3,500
0.067,bla_c_o3,500
0.129,nai_c_o3,500
0.036,bet_c_o3,500
0.128,nai_c_o3,500
0.036,bet_c_o3,500
0.128,nai_c_o3,500
0.036,bet_c_o3,500
0.128,nai_c_o3,500
0.036,bet_c_o3,500
0.128,nai_c_o3,500
0.036,bet_c_o3,500
0.128,nai_c_o3,500
0.036,bet_c_o3,500
0.128,nai_c_o3,500
0.036,bet_c_o3,500
0.129,nai_c_o3,500
0.037,bet_c_o3,500
0.137,nai_c_o3,500
0.036,bet_c_o3,500
0.128,nai_c_o3,500
0.036,bet_c_o3,500
0.118,bla_c_o3,600
0.120,bla_c_o3,600
0.120,bla_c_o3,600
0.116,bla_c_o3,600
0.117,bla_c_o3,600
0.116,bla_c_o3,600
0.116,bla_c_o3,600
0.116,bla_c_o3,600
0.116,bla_c_o3,600
0.116,bla_c_o3,600
0.222,nai_c_o3,600
0.061,bet_c_o3,600
0.223,nai_c_o3,600
0.062,bet_c_o3,600
0.223,nai_c_o3,600
0.061,bet_c_o3,600
0.221,nai_c_o3,600
0.061,bet_c_o3,600
0.222,nai_c_o3,600
0.062,bet_c_o3,600
0.223,nai_c_o3,600
0.061,bet_c_o3,600
0.222,nai_c_o3,600
0.061,bet_c_o3,600
0.222,nai_c_o3,600
0.062,bet_c_o3,600
0.222,nai_c_o3,600
0.061,bet_c_o3,600
0.222,nai_c_o3,600
0.061,bet_c_o3,600
0.187,bla_c_o3,700
0.185,bla_c_o3,700
0.185,bla_c_o3,700
0.185,bla_c_o3,700
0.185,bla_c_o3,700
0.184,bla_c_o3,700
0.184,bla_c_o3,700
0.185,bla_c_o3,700
0.186,bla_c_o3,700
0.184,bla_c_o3,700
0.360,nai_c_o3,700
0.098,bet_c_o3,700
0.358,nai_c_o3,700
0.098,bet_c_o3,700
0.357,nai_c_o3,700
0.097,bet_c_o3,700
0.360,nai_c_o3,700
0.098,bet_c_o3,700
0.360,nai_c_o3,700
0.098,bet_c_o3,700
0.405,nai_c_o3,700
0.123,bet_c_o3,700
0.482,nai_c_o3,700
0.136,bet_c_o3,700
0.508,nai_c_o3,700
0.141,bet_c_o3,700
0.525,nai_c_o3,700
0.140,bet_c_o3,700
0.521,nai_c_o3,700
0.139,bet_c_o3,700
0.409,bla_c_o3,800
0.410,bla_c_o3,800
0.423,bla_c_o3,800
0.424,bla_c_o3,800
0.413,bla_c_o3,800
0.420,bla_c_o3,800
0.413,bla_c_o3,800
0.419,bla_c_o3,800
0.418,bla_c_o3,800
0.419,bla_c_o3,800
0.834,nai_c_o3,800
0.216,bet_c_o3,800
0.819,nai_c_o3,800
0.215,bet_c_o3,800
0.820,nai_c_o3,800
0.217,bet_c_o3,800
0.818,nai_c_o3,800
0.215,bet_c_o3,800
0.817,nai_c_o3,800
0.213,bet_c_o3,800
0.816,nai_c_o3,800
0.211,bet_c_o3,800
0.811,nai_c_o3,800
0.212,bet_c_o3,800
0.814,nai_c_o3,800
0.218,bet_c_o3,800
0.820,nai_c_o3,800
0.212,bet_c_o3,800
0.816,nai_c_o3,800
0.213,bet_c_o3,800
0.590,bla_c_o3,900
0.588,bla_c_o3,900
0.597,bla_c_o3,900
0.588,bla_c_o3,900
0.588,bla_c_o3,900
0.593,bla_c_o3,900
0.586,bla_c_o3,900
0.599,bla_c_o3,900
0.589,bla_c_o3,900
0.600,bla_c_o3,900
1.316,nai_c_o3,900
0.315,bet_c_o3,900
1.290,nai_c_o3,900
0.317,bet_c_o3,900
1.292,nai_c_o3,900
0.318,bet_c_o3,900
1.311,nai_c_o3,900
0.317,bet_c_o3,900
1.297,nai_c_o3,900
0.320,bet_c_o3,900
1.297,nai_c_o3,900
0.316,bet_c_o3,900
1.301,nai_c_o3,900
0.317,bet_c_o3,900
1.294,nai_c_o3,900
0.320,bet_c_o3,900
1.293,nai_c_o3,900
0.317,bet_c_o3,900
1.298,nai_c_o3,900
0.321,bet_c_o3,900
0.833,bla_c_o3,1000
0.833,bla_c_o3,1000
0.829,bla_c_o3,1000
0.837,bla_c_o3,1000
0.841,bla_c_o3,1000
0.844,bla_c_o3,1000
0.832,bla_c_o3,1000
0.846,bla_c_o3,1000
0.833,bla_c_o3,1000
0.831,bla_c_o3,1000
2.121,nai_c_o3,1000
0.454,bet_c_o3,1000
2.171,nai_c_o3,1000
0.432,bet_c_o3,1000
2.077,nai_c_o3,1000
0.436,bet_c_o3,1000
2.120,nai_c_o3,1000
0.431,bet_c_o3,1000
2.147,nai_c_o3,1000
0.433,bet_c_o3,1000
2.098,nai_c_o3,1000
0.436,bet_c_o3,1000
2.107,nai_c_o3,1000
0.435,bet_c_o3,1000
2.097,nai_c_o3,1000
0.436,bet_c_o3,1000
2.142,nai_c_o3,1000
0.429,bet_c_o3,1000
2.121,nai_c_o3,1000
0.433,bet_c_o3,1000
1.044,bla_c_o3,1100
1.123,bla_c_o3,1100
1.133,bla_c_o3,1100
1.129,bla_c_o3,1100
1.140,bla_c_o3,1100
1.112,bla_c_o3,1100
1.118,bla_c_o3,1100
1.129,bla_c_o3,1100
1.116,bla_c_o3,1100
1.122,bla_c_o3,1100
3.903,nai_c_o3,1100
0.591,bet_c_o3,1100
3.968,nai_c_o3,1100
0.585,bet_c_o3,1100
3.946,nai_c_o3,1100
0.591,bet_c_o3,1100
3.918,nai_c_o3,1100
0.586,bet_c_o3,1100
3.847,nai_c_o3,1100
0.592,bet_c_o3,1100
3.890,nai_c_o3,1100
0.595,bet_c_o3,1100
3.867,nai_c_o3,1100
0.591,bet_c_o3,1100
3.864,nai_c_o3,1100
0.592,bet_c_o3,1100
3.868,nai_c_o3,1100
0.592,bet_c_o3,1100
3.909,nai_c_o3,1100
0.595,bet_c_o3,1100
